id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover,time
17427329,BTCUSDT,5,5,1636570800,1636570800,98.631,67825.0,68000.0,67825.0,67954.5,6699414.641,2021-11-11 00:00:00
17427759,BTCUSDT,5,5,1636571100,1636571100,87.427,67954.5,68041.0,67840.5,68032.0,5940579.464,2021-11-11 00:05:00
17428215,BTCUSDT,5,5,1636571400,1636571400,33.342,68032.0,68032.0,67970.5,67971.0,2266991.6635,2021-11-11 00:10:00
17428600,BTCUSDT,5,5,1636571700,1636571700,68.975,67971.0,67978.0,67907.5,67910.0,4686678.4135,2021-11-11 00:15:00
17429073,BTCUSDT,5,5,1636572000,1636572000,127.018,67910.0,67949.0,67653.5,67669.0,8618853.062,2021-11-11 00:20:00
17429507,BTCUSDT,5,5,1636572300,1636572300,175.025,67669.0,67762.5,67668.5,67736.5,11848565.217,2021-11-11 00:25:00
17429929,BTCUSDT,5,5,1636572600,1636572600,192.11,67736.5,67785.0,67430.0,67485.0,12983556.1495,2021-11-11 00:30:00
17430421,BTCUSDT,5,5,1636572900,1636572900,331.943,67485.0,67485.0,67263.5,67263.5,22364222.68,2021-11-11 00:35:00
17430838,BTCUSDT,5,5,1636573200,1636573200,425.5,67263.5,67337.0,67102.5,67103.0,28600168.377,2021-11-11 00:40:00
17431285,BTCUSDT,5,5,1636573500,1636573500,372.51,67103.0,67272.5,66900.0,66989.0,24984922.98,2021-11-11 00:45:00
17431692,BTCUSDT,5,5,1636573800,1636573800,491.699,66989.0,67143.0,66774.5,67000.5,32909251.67,2021-11-11 00:50:00
17432149,BTCUSDT,5,5,1636574100,1636574100,423.566,67000.5,67023.5,66622.0,66676.0,28243464.23,2021-11-11 00:55:00
17432588,BTCUSDT,5,5,1636574400,1636574400,783.373,66676.0,66693.0,66196.0,66580.0,51930830.6785,2021-11-11 01:00:00
17433202,BTCUSDT,5,5,1636574700,1636574700,498.566,66580.0,66947.0,66506.5,66613.5,33288797.5165,2021-11-11 01:05:00
17433668,BTCUSDT,5,5,1636575000,1636575000,343.883,66613.5,66740.0,66380.0,66513.5,22886046.893,2021-11-11 01:10:00
17434111,BTCUSDT,5,5,1636575300,1636575300,284.19,66513.5,66866.0,66387.5,66863.5,18948161.1225,2021-11-11 01:15:00
17434530,BTCUSDT,5,5,1636575600,1636575600,185.486,66863.5,66973.0,66738.5,66838.5,12404234.3435,2021-11-11 01:20:00
17434949,BTCUSDT,5,5,1636575900,1636575900,176.142,66838.5,66890.0,66721.0,66826.0,11767650.109,2021-11-11 01:25:00
17435385,BTCUSDT,5,5,1636576200,1636576200,203.005,66826.0,67032.0,66825.5,67015.5,13598229.547,2021-11-11 01:30:00
17435883,BTCUSDT,5,5,1636576500,1636576500,124.394,67015.5,67015.5,66698.5,66741.0,8314752.01,2021-11-11 01:35:00
17436293,BTCUSDT,5,5,1636576800,1636576800,417.812,66741.0,66741.0,66386.0,66515.0,27796242.7415,2021-11-11 01:40:00
17436717,BTCUSDT,5,5,1636577100,1636577100,351.817,66515.0,66650.0,66034.0,66110.5,23323527.8265,2021-11-11 01:45:00
17437146,BTCUSDT,5,5,1636577400,1636577400,2204.112,66110.5,66162.0,64751.0,65695.0,144496268.8265,2021-11-11 01:50:00
17437606,BTCUSDT,5,5,1636577700,1636577700,678.061,65695.0,65900.0,65217.0,65856.5,44484240.387,2021-11-11 01:55:00
17438101,BTCUSDT,5,5,1636578000,1636578000,626.062,65856.5,66129.5,65550.5,66129.5,41260423.327,2021-11-11 02:00:00
17438631,BTCUSDT,5,5,1636578300,1636578300,323.23,66129.5,66187.5,65705.0,65754.0,21321689.2605,2021-11-11 02:05:00
17439048,BTCUSDT,5,5,1636578600,1636578600,177.5,65754.0,65996.0,65687.5,65807.0,11686093.077,2021-11-11 02:10:00
17439515,BTCUSDT,5,5,1636578900,1636578900,650.687,65807.0,65807.0,65000.0,65310.5,42528324.2425,2021-11-11 02:15:00
17439927,BTCUSDT,5,5,1636579200,1636579200,4005.964,65310.5,65310.5,62512.5,62802.5,256311786.623,2021-11-11 02:20:00
17440354,BTCUSDT,5,5,1636579500,1636579500,1870.793,62802.5,65100.0,62670.0,64937.5,120145068.3515,2021-11-11 02:25:00
